Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
0,Wednesday,18-30,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Crossing,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Turnover,Not a Pedestrian,Improper parking,Slight Injury
0,Wednesday,18-30,Unknown,High school,Employee,5-10yr,Unknown,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Pedestrian,Changing lane,Slight Injury
2,Friday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,1,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Tuesday,Over 51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Tuesday,18-30,Male,Unknown,Employee,1-5 yr,Dry 2,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Fall from vehicles,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
0,Thursday,18-30,Male,High school,Employee,Above 10yr,Auto,Governmental,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
2,Thursday,18-30,Male,High school,Employee,Below 1yr,Dry 2,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Rollover,2,Reversing,Not a Pedestrian,Changing lane,Slight Injury
2,Thursday,31-50,Unknown,High school,Employee,1-5 yr,Auto,Governmental,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Turnover,Not a Pedestrian,No distancing,Slight Injury
2,Saturday,Over 51,Male,High school,Employee,Below 1yr,Auto,Owner,Two way,Gentle horizontal curve,O Shape,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Saturday,18-30,Male,High school,Employee,5-10yr,Auto,Owner,Two way,Gentle horizontal curve,O Shape,Asphalt,Dry,Daylight,Normal,Fall from vehicles,2,Going straight,Unknown,No distancing,Slight Injury
1,Friday,18-30,Male,High school,Employee,1-5 yr,Public 1,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
1,Friday,Over 51,Male,High school,Employee,Below 1yr,Unknown,Owner,Two way,Gentle horizontal curve,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Collision with animals,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
1,Friday,Over 51,Male,Unknown,Unknown,Unknown,Unknown,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Collision with animals,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
2,Sunday,Over 51,Male,High school,Employee,Below 1yr,Auto,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Sunday,31-50,Male,High school,Employee,Below 1yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
1,Sunday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,Above 10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,No distancing,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Governmental,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Friday,31-50,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
2,Friday,31-50,Male,Unknown,Employee,Below 1yr,Two way,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
0,Monday,18-30,Male,High school,Employee,Below 1yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
0,Monday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Tuesday,18-30,Male,High school,Owner,1-5 yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
1,Tuesday,31-50,Male,High school,Employee,5-10yr,Unknown,Governmental,Two way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Saturday,Over 51,Male,Elementary school,Employee,1-5 yr,Public 1,Owner,Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Saturday,31-50,Male,Elementary school,Owner,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Saturday,31-50,Male,High school,Employee,Above 10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
2,Saturday,18-30,Unknown,High school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Thursday,31-50,Male,High school,Employee,5-10yr,Unknown,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Tuesday,18-30,Unknown,High school,Employee,Above 10yr,Auto,Governmental,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Tuesday,Over 51,Male,High school,Unknown,1-5 yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
2,Friday,18-30,Male,High school,Employee,1-5 yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Friday,31-50,Male,High school,Employee,1-5 yr,Public (> 45 seats),Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Sunday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public 1,Organization,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving to the left,Slight Injury
0,Monday,Unknown,Female,High school,Employee,5-10yr,Public 1,Owner,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
0,Monday,31-50,Male,High school,Employee,Above 10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Thursday,31-50,Unknown,High school,Employee,1-5 yr,Unknown,Organization,Two way,Tangent road with mountainous terrain and,O Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Thursday,18-30,Male,High school,Owner,Above 10yr,Auto,Owner,Unknown,Tangent road with flat terrain,O Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,No distancing,Slight Injury
2,Wednesday,31-50,Male,Elementary school,Unknown,5-10yr,Public 1,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Monday,18-30,Male,Elementary school,Employee,5-10yr,Dry 1,Owner,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Unknown,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Changing lane,Slight Injury
0,Monday,31-50,Male,High school,Unknown,5-10yr,Auto,Owner,Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Thursday,31-50,Male,High school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
2,Thursday,31-50,Male,High school,Employee,5-10yr,Public 1,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Tuesday,Over 51,Male,Elementary school,Employee,1-5 yr,Dry 1,Owner,Two way,Tangent road with mountainous terrain and,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,Changing lane,Serious Injury
2,Wednesday,Over 51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
1,Sunday,31-50,Male,High school,Employee,Above 10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Sunday,Under 18,Male,High school,Owner,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
0,Wednesday,31-50,Male,High school,Employee,1-5 yr,Dry 1,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
0,Wednesday,31-50,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Overturning,Serious Injury
2,Sunday,Over 51,Male,High school,Owner,1-5 yr,Dry 1,Owner,Two way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
2,Sunday,Over 51,Male,Unknown,Unknown,Unknown,Dry 1,Owner,Two way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,No distancing,Slight Injury
1,Wednesday,Over 51,Unknown,Elementary school,Owner,1-5 yr,Auto,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Rollover,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
1,Wednesday,31-50,Male,Unknown,Owner,5-10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
3,Monday,18-30,Unknown,High school,Employee,Below 1yr,Dry 1,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
3,Monday,18-30,Male,High school,Employee,1-5 yr,Unknown,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Serious Injury
2,Sunday,31-50,Male,High school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Moving Backward,Serious Injury
2,Sunday,31-50,Male,High school,Employee,Above 10yr,Dry 2,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
2,Monday,18-30,Male,Elementary school,Employee,1-5 yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
2,Sunday,Over 51,Male,High school,Employee,1-5 yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Sunday,Over 51,Male,High school,Employee,5-10yr,Dry 1,Governmental,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
0,Thursday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
0,Thursday,18-30,Male,High school,Employee,1-5 yr,Public (13?45 seats),Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane,Slight Injury
0,Thursday,31-50,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Sunday,18-30,Unknown,High school,Employee,1-5 yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
1,Sunday,Over 51,Male,High school,Employee,Above 10yr,Auto,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
1,Thursday,18-30,Male,High school,Employee,Above 10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
1,Thursday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
1,Monday,18-30,Male,Unknown,Employee,Unknown,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Monday,18-30,Male,Unknown,Employee,1-5 yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Monday,18-30,Male,Elementary school,Employee,5-10yr,Public 1,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Parked,Not a Pedestrian,No distancing,Slight Injury
2,Monday,Over 51,Male,High school,Employee,5-10yr,Unknown,Governmental,Two-way (divided with broken lines road marking),Unknown,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Monday,31-50,Unknown,High school,Employee,Above 10yr,Unknown,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Overturning,Slight Injury
1,Thursday,Under 18,Male,High school,Employee,5-10yr,Unknown,Unknown,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving at high speed,Serious Injury
1,Thursday,Under 18,Male,High school,Employee,Above 10yr,Public 1,Owner,One way,Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
1,Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
1,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Unknown,Owner,One way,Tangent road with flat terrain,No junction,Asphalt,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
1,Monday,Over 51,Male,Elementary school,Employee,1-5 yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Turnover,Not a Pedestrian,Unknown,Slight Injury
1,Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Unknown,Governmental,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Unknown,Slight Injury
1,Monday,31-50,Male,Elementary school,Employee,5-10yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
0,Friday,18-30,Male,Elementary school,Employee,1-5 yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Rollover,2,Unknown,Not a Pedestrian,No distancing,Slight Injury
0,Friday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury
0,Monday,31-50,Unknown,Unknown,Unknown,5-10yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Friday,18-30,Male,High school,Employee,Above 10yr,Dry 1,Owner,One way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury
